x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18
3.9067787243955615e6,4.1674283747654306e6,3.9985337264968883e6,3.559757947616008e6,4.1168827864380805e6,4.417560703475508e6,4.277293441610087e6,4.6161511007205825e6,4.866712745486282e6,3.7134080093155885e6,4.516840802249216e6,3.9254117567953593e6,3.9682204973317436e6,3.650673202387465e6,4.876072524750293e6,4.876072524750293e6,4.361104905305439e6,4.738839341794422e6
3.7080210930171455e6,4.1491563396396316e6,4.015837248173844e6,3.573179423691741e6,4.0920060216028173e6,4.521701778568068e6,4.2536241872858815e6,4.640563769226012e6,4.778771280968473e6,3.753327419322608e6,4.608321441918455e6,3.91005232739233e6,4.0043966879232125e6,3.7763444823116967e6,4.829481332496444e6,4.829481332496444e6,4.4491927082253825e6,4.663181283365762e6
3.8202958716387297e6,4.270381064513832e6,4.001952469850799e6,3.6503951497674747e6,4.179123606767555e6,4.467066053660627e6,4.242430252961675e6,4.457148947731443e6,4.792333556450665e6,3.8088409793296275e6,4.592911271587692e6,3.9641577479893016e6,3.917520858514683e6,3.7143189022359275e6,4.799618410242595e6,4.799618410242595e6,4.354403661145327e6,4.7366600049371e6
3.8483622402603137e6,4.336600969388032e6,4.0186889315277543e6,3.663816625843208e6,4.074858441932293e6,4.387763218753185e6,4.233504558637468e6,4.6247442662368715e6,4.781228721932858e6,3.8450744993366464e6,4.653203611256932e6,3.9343382885862715e6,3.943773499106151e6,3.6440709521601587e6,4.936187597988745e6,4.936187597988745e6,4.4050655040652715e6,4.70891851650844e6
3.8494932588818977e6,4.248864084262233e6,4.0566901432047086e6,3.708993461918941e6,4.1095229770970303e6,4.326039243845744e6,4.417379264313263e6,4.460609484742302e6,4.897428857415048e6,3.751167749343667e6,4.616245160926171e6,3.875315239183242e6,4.0250309596976205e6,3.72863038208439e6,4.875703435734896e6,4.875703435734896e6,4.531713386985216e6,4.732495958079779e6
3.7890982675034814e6,4.252423859136434e6,4.0921395848816633e6,3.6583371579946745e6,4.161766372261768e6,4.4602344989383025e6,4.2871027299890565e6,4.690581403247732e6,4.813456812897241e6,3.7414694093506862e6,4.780309480595409e6,4.0796915597802126e6,3.94666103028909e6,3.703463702008621e6,4.918424193481048e6,4.918424193481048e6,4.61866706990516e6,4.775069909651117e6
3.7970340061250655e6,4.290007234010635e6,4.159911446558619e6,3.6626856740704076e6,4.0770647774265055e6,4.469676554030863e6,4.377696065664852e6,4.5068830517531615e6,4.992600608379434e6,3.9790092293577064e6,4.660560270264648e6,3.9619778003771827e6,3.8526969508805587e6,3.7437924519328517e6,5.001689741227198e6,5.001689741227198e6,4.578599312825104e6,4.603862241222458e6
3.749114334746649e6,4.2292056988848355e6,4.093006558235574e6,3.568932810146141e6,4.1610635325912433e6,4.382718409123421e6,4.308945541340645e6,4.410511940258591e6,4.869217893861626e6,3.7257586193647254e6,4.618214749933886e6,3.808539260974155e6,3.9781850914720283e6,3.8771190418570833e6,4.87202425897335e6,4.87202425897335e6,4.419732485745047e6,4.900479072793797e6
3.8324690533682336e6,4.259417293759037e6,3.987825119912528e6,3.606737866221874e6,4.127680867755981e6,4.4423452742159795e6,4.301437497016439e6,4.441729328764021e6,4.8093458993438175e6,3.8949677093717456e6,4.650437619603125e6,4.0670698115711245e6,3.8538833020634977e6,3.5806141517813145e6,4.8846908367195e6,4.8846908367195e6,4.451964878664992e6,4.723033744365136e6
3.9234790819898183e6,4.248800568633237e6,4.0448228415894844e6,3.669777092297607e6,4.1708513029207187e6,4.494883889308539e6,4.360559002692233e6,4.5571551272694515e6,4.75259273482601e6,3.813252749378765e6,4.661679269272365e6,3.8895312221680954e6,3.964344352654966e6,3.710538381705546e6,4.836398464465651e6,4.836398464465651e6,4.461798401584936e6,4.714005235936475e6
3.6810578306114017e6,4.198773173507437e6,4.0159109732664386e6,3.62082196837334e6,4.1675228180854563e6,4.454424664401097e6,4.279333158368027e6,4.528547685774881e6,4.987308410308201e6,3.755070779385784e6,4.590413688941603e6,3.752253892765066e6,3.969332243246436e6,3.666658721629776e6,4.844812092211802e6,4.844812092211802e6,4.34943049450488e6,4.797691037507814e6
3.7556231192329857e6,4.303553158381639e6,3.976792024943393e6,3.636795214449073e6,4.1865932032501935e6,4.5307797994936565e6,4.316906384043821e6,4.618455784280311e6,4.826216205790393e6,3.865305629392804e6,4.659495458610843e6,3.8993571533620367e6,3.855804593837906e6,3.6117213915540073e6,4.916169379957952e6,4.916169379957952e6,4.495074887424825e6,4.723450629079153e6
3.9297074378545685e6,4.236797493255839e6,4.0904957466203487e6,3.6692132005248065e6,4.1407352184149316e6,4.432196924586214e6,4.374610239719614e6,4.666968502785741e6,4.911511571272585e6,3.800885999399824e6,4.613464048280081e6,3.906963653959007e6,4.011346914429375e6,3.708756141478239e6,4.893111177704102e6,4.893111177704102e6,4.445934170344769e6,4.626527820650493e6
3.780284026476153e6,4.28203617813004e6,4.026993218297303e6,3.6267792666005394e6,4.054332443579669e6,4.445891929678774e6,4.410198755395409e6,4.57343269129117e6,4.818183036754778e6,3.7509263994068434e6,4.662415187949319e6,3.9922573745559785e6,3.943751125020844e6,3.7814073114024694e6,4.741897415450254e6,4.741897415450254e6,4.551884363264714e6,4.672787662221832e6
3.884052905097737e6,4.246752343004241e6,4.102987449974258e6,3.602491252676273e6,4.201558388744406e6,4.372543224771334e6,4.346268241071203e6,4.565239409796601e6,4.883631302236969e6,3.7477492494138624e6,4.636514407618559e6,3.9289813751529492e6,3.9552602056123135e6,3.7154123113267017e6,4.841040643196405e6,4.841040643196405e6,4.428458786184658e6,4.7250016337931715e6
3.8596662237193217e6,4.300780457878441e6,4.082581481651214e6,3.5852914887520066e6,4.127063873909145e6,4.302880409863892e6,4.291127156746997e6,4.485313038302031e6,4.791153357719161e6,3.770940389420883e6,4.589348877287797e6,3.845007685749919e6,4.0291458862037826e6,3.6533867312509324e6,4.905309680942556e6,4.905309680942556e6,4.4683464891046025e6,4.804434485364511e6
3.9200550123409056e6,4.345168552752641e6,4.069830823328169e6,3.52187633482774e6,4.274573349073883e6,4.555874734956451e6,4.31679212242279e6,4.561611696807462e6,4.860003983201354e6,3.7340231694279024e6,4.586414026957036e6,3.94873085634689e6,3.895771136795252e6,3.6440977311751633e6,4.876580878688707e6,4.876580878688707e6,4.510502432024546e6,4.739267036935849e6
3.8568247209624895e6,4.1922197676268425e6,4.0440377850051234e6,3.664020430903473e6,4.1201233742386196e6,4.592819200049009e6,4.470329118098585e6,4.620331495312891e6,4.986978258683546e6,3.695404769434922e6,4.740271266626274e6,3.883753676943861e6,4.025228697386721e6,3.6333910810993947e6,4.934612256434857e6,4.934612256434857e6,4.472135854944491e6,4.687425498507189e6
3.791893249584074e6,4.272049112501044e6,4.146967366682078e6,3.6751736669792063e6,4.1797385494033573e6,4.373452545141568e6,4.299224263774378e6,4.526228623818321e6,4.965949874165736e6,3.759991289441942e6,4.554176036295515e6,3.868394247540832e6,3.94770935797819e6,3.7471541010236247e6,4.865338664181008e6,4.865338664181008e6,4.402580977864435e6,4.783019560078529e6
3.7490771182056577e6,4.350460807375244e6,4.0661695083590336e6,3.60835615305494e6,4.216104264568094e6,4.445838260234128e6,4.334245719450173e6,4.590335492323751e6,5.03309931964793e6,3.760783559448961e6,4.558045905964753e6,3.835172428137803e6,3.9943761585696596e6,3.6477025609478564e6,4.825268661927159e6,4.825268661927159e6,4.339547290784379e6,4.722105061649868e6
3.863620136827241e6,4.253934492249444e6,4.043495300035989e6,3.517438589130672e6,4.239144069732833e6,4.3960225453266855e6,4.325603555125967e6,4.63941527082918e6,4.893271865130122e6,3.842098349455981e6,4.678730135633991e6,4.0117628087347723e6,3.946060409161129e6,3.781029150872087e6,4.79313749967331e6,4.79313749967331e6,4.426217443704323e6,4.751069573221207e6
