t,AVG,SD,GFP,GFPSD
62.99935,4269.113636,1272.582473,1067278.409,318145.6182
63.33268,4313.590909,1297.759291,1078397.727,324439.8228
63.66601,4156.636364,1348.642661,1039159.091,337160.6653
63.99934,4307.522727,1320.988521,1076880.682,330247.1304
64.33267,4298.431818,1364.428638,1074607.955,341107.1594
64.666,4350.545455,1219.472178,1087636.364,304868.0445
64.99933,4262.590909,1314.939689,1065647.727,328734.9224
65.33266,4277.863636,1346.125752,1069465.909,336531.4379
65.66599,4255.75,1231.093863,1063937.5,307773.4657
65.99932,4354.886364,1296.322441,1088721.591,324080.6102
66.33265,4305.477273,1321.797622,1076369.318,330449.4054
66.66598,4370.181818,1307.893643,1092545.455,326973.4106
66.99931,4343.977273,1316.534395,1085994.318,329133.5988
67.33264,4357.386364,1297.692697,1089346.591,324423.1742
67.66597,4393.772727,1272.197181,1098443.182,318049.2953
67.9993,4344,1281.294349,1086000,320323.5873
68.33263,4358.954545,1305.042189,1089738.636,326260.5472
68.66596,4428.090909,1289.606607,1107022.727,322401.6518
68.99929,4348.386364,1229.669141,1087096.591,307417.2852
69.33262,4326.340909,1253.35056,1081585.227,313337.6399
69.66595,4306.386364,1259.729672,1076596.591,314932.4181
69.99928,4367.090909,1212.763706,1091772.727,303190.9264
70.33261,4205.590909,1318.540584,1051397.727,329635.1459
70.66594,4291.227273,1308.732102,1072806.818,327183.0255
70.99927,4195.454545,1334.810751,1048863.636,333702.6879
71.3326,4252.159091,1331.47788,1063039.773,332869.4701
71.66593,4451.477273,1265.236985,1112869.318,316309.2462
